,title,id,language,ontologyId,resultType,access,distance,categories,references,openingHours,address.label,address.countryCode,address.countryName,address.stateCode,address.state,address.county,address.city,address.district,address.street,address.postalCode,address.houseNumber,position.lat,position.lng,contacts,payment.methods
0,55 Charles,here:pds:place:1248lxx5-32fee7be87950e7265b3c6bec748cce4,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 43.66817, 'lng': -79.38907}]",542,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}, {'id': '700-7400-0145', 'name': 'Real Estate Services'}]","[{'supplier': {'id': 'yelp'}, 'id': 'O3Ho1AREvS-o8Me5U8BS9A'}]","[{'categories': [{'id': '700-7200-0324'}], 'text': ['Mon-Fri: 09:00 - 17:00'], 'isOpen': False, 'structured': [{'start': 'T090000', 'duration': 'PT08H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR'}]}]","55 Charles, 55 Charles St W, Toronto, ON M5S, Canada",CAN,Canada,ON,Ontario,Toronto,Toronto,Bay Street Corridor,Charles St W,M5S,55,43.66768,-79.38898,,
1,Vertica Resident Services,here:pds:place:124dpz83-dfee61fc60644dc39aa5a5ac2adbe637,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 43.66807, 'lng': -79.38959}]",546,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}, {'id': '700-7200-0344', 'name': 'Property Management'}, {'id': '900-9300-0221', 'name': 'Residential Area/Building'}]",,,"Vertica Resident Services, 57 Charles St W, Toronto, ON M5S, Canada",CAN,Canada,ON,Ontario,Toronto,Toronto,Bay Street Corridor,Charles St W,M5S,57,43.66777,-79.38948,"[{'phone': [{'value': '+14169280326'}, {'value': '+14169286787', 'categories': [{'id': '700-7200-0344'}, {'id': '900-9300-0221'}]}], 'www': [{'value': 'http://www.vertica.ca', 'categories': [{'id': '700-7200-0344'}, {'id': '900-9300-0221'}]}]}]",
2,Oxford Properties,here:pds:place:124dpz83-277f2cde6e75489fa26e83dcaf3a327d,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 43.66769, 'lng': -79.38864}]",561,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}, {'id': '700-7400-0145', 'name': 'Real Estate Services'}, {'id': '900-9300-0221', 'name': 'Residential Area/Building'}]","[{'supplier': {'id': 'yelp'}, 'id': 'Enh-FxocKgOMEnOBGjd1AQ'}]","[{'categories': [{'id': '700-7400-0145'}, {'id': '900-9300-0221'}], 'text': ['Mon-Fri: 08:00 - 18:00', 'Sat, Sun: 10:00 - 18:00'], 'isOpen': True, 'structured': [{'start': 'T080000', 'duration': 'PT10H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR'}, {'start': 'T100000', 'duration': 'PT08H00M', 'recurrence': 'FREQ:DAILY;BYDAY:SA,SU'}]}]","Oxford Properties, 1101 Bay St, Toronto, ON M5S, Canada",CAN,Canada,ON,Ontario,Toronto,Toronto,Bay Street Corridor,Bay St,M5S,1101,43.66775,-79.38837,"[{'phone': [{'value': '+14169209588'}], 'fax': [{'value': '+14169689737', 'categories': [{'id': '700-7400-0145'}, {'id': '900-9300-0221'}]}], 'www': [{'value': 'http://www.oxfordproperties.com', 'categories': [{'id': '700-7400-0145'}, {'id': '900-9300-0221'}]}]}]",
3,KS 700 Bay,here:pds:place:124dpz83-fb6dde4c16f130e4c5f9f3e0ead08740,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 43.65816, 'lng': -79.3864}]",621,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]",,,"KS 700 Bay, 99 Gerrard St W, Toronto, ON M5G, Canada",CAN,Canada,ON,Ontario,Toronto,Toronto,Bay Street Corridor,Gerrard St W,M5G,99,43.65808,-79.38639,,"[{'id': 'mastercard', 'accepted': True}]"
4,Livmor Developments,here:pds:place:124dpz83-48167b3888b1493fa7a56f8a5c81ab83,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 43.65846, 'lng': -79.38494}]",665,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","[{'supplier': {'id': 'yelp'}, 'id': 'cqEKsQJfNzOpPoXUr0Jg8A'}]",,"Livmor Developments, 55 Gerrard St W, Toronto, ON M5G, Canada",CAN,Canada,ON,Ontario,Toronto,Toronto,Bay Street Corridor,Gerrard St W,M5G,55,43.65836,-79.38492,[{'phone': [{'value': '+16473753719'}]}],
5,Carlton Court Apartments,here:pds:place:124dpz83-5d592f13ceab4e0bb312953ced510592,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 43.66243, 'lng': -79.38142}]",719,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}, {'id': '900-9300-0221', 'name': 'Residential Area/Building'}]","[{'supplier': {'id': 'yelp'}, 'id': 'rn9mncJLqEzp3eDoJd2A1A'}]","[{'text': ['Mon-Fri: 09:00 - 17:00'], 'isOpen': False, 'structured': [{'start': 'T090000', 'duration': 'PT08H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR'}]}]","Carlton Court Apartments, 33 Wood St, Toronto, ON M4Y, Canada",CAN,Canada,ON,Ontario,Toronto,Toronto,Church-Yonge Corridor,Wood St,M4Y,33,43.66234,-79.38139,"[{'phone': [{'value': '+14169777284'}], 'fax': [{'value': '+14169777285', 'categories': [{'id': '900-9300-0221'}]}]}]",
6,Maples,here:pds:place:124dpz83-a6d0ee0488044b05b473a0b5f1faf4dc,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 43.6614, 'lng': -79.38145}]",720,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}, {'id': '800-8600-0182', 'name': 'Swimming Pool'}]","[{'supplier': {'id': 'yelp'}, 'id': 'QVMJ3o3ULCV3gENrvmk51A'}]",,"Maples, 20 Carlton St, Toronto, ON M5B, Canada",CAN,Canada,ON,Ontario,Toronto,Toronto,Church-Yonge Corridor,Carlton St,M5B,20,43.66162,-79.38153,"[{'phone': [{'value': '+14165951771', 'categories': [{'id': '700-7200-0324'}]}, {'value': '+14165955512'}]}]",
7,Innis College,here:pds:place:124962og-b49f8ca6d8f805170a230b4474b67992,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 43.66559, 'lng': -79.39904}]",745,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","[{'supplier': {'id': 'yelp'}, 'id': 'h-9lRwRGvs_VURHkNTvNyg'}]",,"Innis College, 111 St George St, Toronto, ON M5S, Canada",CAN,Canada,ON,Ontario,Toronto,Toronto,University,St George St,M5S,111,43.66566,-79.39874,,
8,Elm Place Apartments,here:pds:place:124dpz83-fb932c687a8842098600586689c4efc1,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 43.65595, 'lng': -79.3913}]",756,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}, {'id': '900-9300-0221', 'name': 'Residential Area/Building'}]","[{'supplier': {'id': 'yelp'}, 'id': 'XeaAbHYstJSccqgyEdSOpQ'}, {'supplier': {'id': 'yelp'}, 'id': '_VKwIKDj4it-Fv1dRzzylg'}]","[{'text': ['Mon-Fri: 09:00 - 17:00', 'Sat, Sun: 11:00 - 16:00'], 'isOpen': True, 'structured': [{'start': 'T090000', 'duration': 'PT08H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR'}, {'start': 'T110000', 'duration': 'PT05H00M', 'recurrence': 'FREQ:DAILY;BYDAY:SA,SU'}]}]","Elm Place Apartments, 200 Elm St, Toronto, ON M5T, Canada",CAN,Canada,ON,Ontario,Toronto,Toronto,Kensington-Chinatown,Elm St,M5T,200,43.65615,-79.39139,"[{'phone': [{'value': '+14169793232'}, {'value': '+16479315639', 'categories': [{'id': '700-7200-0324'}]}]}]",
9,66 Isabella Street,here:pds:place:1248lxx5-690b0e9d14260cc753b1286c69725db7,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 43.66818, 'lng': -79.38273}]",861,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","[{'supplier': {'id': 'yelp'}, 'id': '2EYMmiM95cnAGK6RL1xR5w'}]","[{'text': ['Mon-Fri: 10:00 - 19:00', 'Sat: 10:00 - 16:00'], 'isOpen': False, 'structured': [{'start': 'T100000', 'duration': 'PT09H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR'}, {'start': 'T100000', 'duration': 'PT06H00M', 'recurrence': 'FREQ:DAILY;BYDAY:SA'}]}]","66 Isabella Street, 66 Isabella St, Toronto, ON M4Y, Canada",CAN,Canada,ON,Ontario,Toronto,Toronto,Church-Yonge Corridor,Isabella St,M4Y,66,43.66846,-79.38285,[{'phone': [{'value': '+14169289636'}]}],
