,title,address.label,distance,access,position.lat,position.lng,address.postalCode,contacts,id
0,55 Charles,"55 Charles, 55 Charles St W, Toronto, ON M5S, Canada",542,"[{'lat': 43.66817, 'lng': -79.38907}]",43.66768,-79.38898,M5S,,here:pds:place:1248lxx5-32fee7be87950e7265b3c6bec748cce4
1,Vertica Resident Services,"Vertica Resident Services, 57 Charles St W, Toronto, ON M5S, Canada",546,"[{'lat': 43.66807, 'lng': -79.38959}]",43.66777,-79.38948,M5S,"[{'phone': [{'value': '+14169280326'}, {'value': '+14169286787', 'categories': [{'id': '700-7200-0344'}, {'id': '900-9300-0221'}]}], 'www': [{'value': 'http://www.vertica.ca', 'categories': [{'id': '700-7200-0344'}, {'id': '900-9300-0221'}]}]}]",here:pds:place:124dpz83-dfee61fc60644dc39aa5a5ac2adbe637
2,Oxford Properties,"Oxford Properties, 1101 Bay St, Toronto, ON M5S, Canada",561,"[{'lat': 43.66769, 'lng': -79.38864}]",43.66775,-79.38837,M5S,"[{'phone': [{'value': '+14169209588'}], 'fax': [{'value': '+14169689737', 'categories': [{'id': '700-7400-0145'}, {'id': '900-9300-0221'}]}], 'www': [{'value': 'http://www.oxfordproperties.com', 'categories': [{'id': '700-7400-0145'}, {'id': '900-9300-0221'}]}]}]",here:pds:place:124dpz83-277f2cde6e75489fa26e83dcaf3a327d
3,KS 700 Bay,"KS 700 Bay, 99 Gerrard St W, Toronto, ON M5G, Canada",621,"[{'lat': 43.65816, 'lng': -79.3864}]",43.65808,-79.38639,M5G,,here:pds:place:124dpz83-fb6dde4c16f130e4c5f9f3e0ead08740
4,Livmor Developments,"Livmor Developments, 55 Gerrard St W, Toronto, ON M5G, Canada",665,"[{'lat': 43.65846, 'lng': -79.38494}]",43.65836,-79.38492,M5G,[{'phone': [{'value': '+16473753719'}]}],here:pds:place:124dpz83-48167b3888b1493fa7a56f8a5c81ab83
5,Carlton Court Apartments,"Carlton Court Apartments, 33 Wood St, Toronto, ON M4Y, Canada",719,"[{'lat': 43.66243, 'lng': -79.38142}]",43.66234,-79.38139,M4Y,"[{'phone': [{'value': '+14169777284'}], 'fax': [{'value': '+14169777285', 'categories': [{'id': '900-9300-0221'}]}]}]",here:pds:place:124dpz83-5d592f13ceab4e0bb312953ced510592
6,Maples,"Maples, 20 Carlton St, Toronto, ON M5B, Canada",720,"[{'lat': 43.6614, 'lng': -79.38145}]",43.66162,-79.38153,M5B,"[{'phone': [{'value': '+14165951771', 'categories': [{'id': '700-7200-0324'}]}, {'value': '+14165955512'}]}]",here:pds:place:124dpz83-a6d0ee0488044b05b473a0b5f1faf4dc
7,Innis College,"Innis College, 111 St George St, Toronto, ON M5S, Canada",745,"[{'lat': 43.66559, 'lng': -79.39904}]",43.66566,-79.39874,M5S,,here:pds:place:124962og-b49f8ca6d8f805170a230b4474b67992
8,Elm Place Apartments,"Elm Place Apartments, 200 Elm St, Toronto, ON M5T, Canada",756,"[{'lat': 43.65595, 'lng': -79.3913}]",43.65615,-79.39139,M5T,"[{'phone': [{'value': '+14169793232'}, {'value': '+16479315639', 'categories': [{'id': '700-7200-0324'}]}]}]",here:pds:place:124dpz83-fb932c687a8842098600586689c4efc1
9,66 Isabella Street,"66 Isabella Street, 66 Isabella St, Toronto, ON M4Y, Canada",861,"[{'lat': 43.66818, 'lng': -79.38273}]",43.66846,-79.38285,M4Y,[{'phone': [{'value': '+14169289636'}]}],here:pds:place:1248lxx5-690b0e9d14260cc753b1286c69725db7
